ID,Country,Country_ID,ISO2,ISO3,ADMIN1_NAME,ADMIN1_CODE,ADMIN2_NAME,ADMIN2_CODE,IU_NAME,IU_ID,LocationName,Longitude,Latitude,Georeliability,LocationType,SurveyYear,Period,Method_0,Method_1,Method_2,Examined,Positive,Prevalence,Source,Funding,Composite_IU_ID,elevation,dist_water,MEANndvi,Sdndvi,MAXndvi,MINndvi
860,Cameroon,7,CM,CMR,NORD OUEST,824,NKAMBE,7555,NKAMBE,7555,Kungi,10.68333333,6.6,1,Village,2003,2001 - 2005,Mapping,RAPLOA,Questionnaire,106,29,0.273584906,APOC,APOC,ACMR0082407555,1.659,28.9309997558594,0.653358421757403,0.146860854064662,0.817680840303927,0.346608694115405
492,Cameroon,7,CM,CMR,CENTRE,819,"NANGA EBOKO",7447,"NANGA EBOKO",7447,Ngoulmekong /Bibea,12.72472222,4.91805556,1,Village,2003,2001 - 2005,Mapping,RAPLOA,Questionnaire,111,51,0.459459459,APOC,APOC,ACMR0081907447,0.596,1.89999997615814,0.683682901198837,0.094577085936936,0.865005511650629,0.428245861509828
544,Cameroon,7,CM,CMR,CENTRE,819,"NANGA EBOKO",7447,"NANGA EBOKO",7447,Mbenda,12.88361111,5.07444444,1,Village,2003,2001 - 2005,Mapping,RAPLOA,Questionnaire,82,33,0.402439024,APOC,APOC,ACMR0081907447,0.614,10.0190000534058,0.710712233232025,0.098103873509082,0.850216091030506,0.46178717937423
810,Cameroon,7,CM,CMR,NORD OUEST,824,FUNDONG,7548,FUNDONG,7548,Njinikom,10.42111111,6.47555556,1,Village,2003,2001 - 2005,Mapping,RAPLOA,Questionnaire,91,5,0.054945055,APOC,APOC,ACMR0082407548,1.354,11.8330001831055,0.59049067228752,0.159294124996934,0.777528461756258,0.286645451880125
881,Cameroon,7,CM,CMR,NORD OUEST,824,WUM,7560,WUM,7560,Esu,10.16972222,6.74027778,1,Village,2003,2001 - 2005,Mapping,RAPLOA,Questionnaire,96,13,0.135416667,APOC,APOC,ACMR0082407560,0.5,3.57299995422363,0.724792505290897,0.11524034125828,0.869410965763666,0.462203617020316
760,Cameroon,7,CM,CMR,LITTORAL,822,NKONDJOCK,7522,NKONDJOCK,7522,Nyamssa,10.10555556,4.81916667,1,Village,2005,2001 - 2005,Mapping,RAPLOA,Questionnaire,63,23,0.365079365,APOC,APOC,ACMR0082207522,0.454,9.99600028991699,0.730849404424579,0.078698867181133,0.846897237075935,0.495373998231385
627,Cameroon,7,CM,CMR,EST,820,BETARE OYA,7462,BETARE OYA,7462,NDOKAYO,14.1925,5.52361111,1,Village,2004,2001 - 2005,Mapping,RAPLOA,Questionnaire,79,32,0.405063291,APOC,APOC,ACMR0082007462,0.931,16.4270000457764,0.631509243252875,0.131468398170854,0.80430946850143,0.358830049261782
612,Cameroon,7,CM,CMR,EST,820,BERTOUA,7461,BERTOUA,7461,KANO,13.55,4.98333333,1,Village,2004,2001 - 2005,Mapping,RAPLOA,Questionnaire,64,45,0.703125,APOC,APOC,ACMR0082007461,0.746,20.5659999847412,0.765180929797073,0.065741323780464,0.890658455619474,0.564189327981049
361,Cameroon,7,CM,CMR,ADAMAOUA,818,BANYO,7421,BANYO,7421,MBAMTI ALARBA,12.002,6.80204,1,Village,2010,2006 - 2010,Mapping,RAPLOA,Questionnaire,80,0,0,APOC,APOC,ACMR0081807421,0.969,17.7220001220703,0.588317321978577,0.14634726557533,0.792775381200105,0.368627944106623
749,Cameroon,7,CM,CMR,LITTORAL,822,NJOMBE PENJA,7521,NJOMBE PENJA,7521,Tangui,9.71722222,4.64888889,1,Village,2005,2001 - 2005,Mapping,RAPLOA,Questionnaire,92,26,0.282608696,APOC,APOC,ACMR0082207521,0.232,6.88199996948242,0.728517515759322,0.083016519429409,0.854684540439038,0.480108969337906
